Artist,Title,Album,Genre,File ID
Ice Cube,It Was A Good Day,The Predator,Hip Hop/Rap,301.wav
Rakim,It's Been A Long Time,The 18th Letter / The Book Of Life,Hip Hop/Rap,302.wav
J. Cole ,Wet Dreamz,Forest Hills Drive,Hip Hop/Rap,303.wav
OutKast,Jazzy Belle,ATLiens,Hip Hop/Rap,304.wav
Kanye West,Real Friends,The Life of Pablo,Hip Hop/Rap,305.wav
KMD,Peachfuzz,Mr. Hood,Hip Hop/Rap,306.wav
Lil Jon & The Eastside Boyz,Stop Trippin (Feat. Ludacris) ,Certified Crunk,Hip Hop/Rap,307.wav
Logic,Never Enough,Under Pressure,Hip Hop/Rap,308.wav
Camp Lo,Luchini Aka This Is It,Profilin': The Hits,Hip Hop/Rap,309.wav
LL Cool J,Mama Said Knock You Out,Mama Said Knock You Out,Hip Hop/Rap,310.wav
Mos Def,Mathematics,Black On Both Sides,Hip Hop/Rap,311.wav
Jeru The Damaja,Me Or The Papes,Wrath Of The Math,Hip Hop/Rap,312.wav
Gang Starr,Moment Of Truth,Moment Of Truth,Hip Hop/Rap,313.wav
Mos Def,Ms. Fat Booty,Black On Both Sides,Hip Hop/Rap,314.wav
Unknown Artist,Notorious B.I.G. (Biggie) - Hypnotized,Unknown Album,Hip Hop/Rap,315.wav
Outkast                       ,Ms Jackson                    ,Stankonia                     ,Hip Hop/Rap,316.wav
Desiigner,Panda,New English,Hip Hop/Rap,317.wav
OutKast,Player's Ball,Southernplayalisticadillacmuzik,Hip Hop/Rap,318.wav
G-Unit,Poppin' Them Thangs,Beg For Mercy,Hip Hop/Rap,319.wav
Post Malone,White Iverson,Post Malone,Hip Hop/Rap,320.wav
Project Pat,Project Pat - Murderers & Robbers - 06 - Bitch Smackin Killa,Murderers & Robbers,Hip Hop/Rap,321.wav
D12,Purple Pills,Devils Night,Hip Hop/Rap,322.wav
Big L,Put It On,Lifestylez Ov Da Poor & Dangerous,Hip Hop/Rap,323.wav
Fugees,Ready or Not,The Score,Hip Hop/Rap,324.wav
Eazy-E,Real Muthaphuckkin G's,It's On (Dr. Dre) 187um Killa,Hip Hop/Rap,325.wav
"Warren G, Nate Dogg",Regulate,Regulate‰Û_ G Funk Era (Special Edition),Hip Hop/Rap,326.wav
"Chamillionaire, Krayzie Bone",Ridin',The Sound of Revenge,Hip Hop/Rap,327.wav
Run DMC,It's Like That,Playlist (The Very Best Of Run DMC) [by Hillside],Hip Hop/Rap,328.wav
The Pharcyde,Runnin',Labcabincalifornia (Deluxe Edition),Hip Hop/Rap,329.wav
Unknown Artist,Salt 'N Peppa with TLC - Whatta Man,Unknown Album,Hip Hop/Rap,330.wav
"Tyler, The Creator",Sandwitches (Featuring Hodgy Beats),Goblin (Deluxe Edition),Hip Hop/Rap,331.wav
Vince Staples,SeÌ±orita,Summertime '06,Hip Hop/Rap,332.wav
Onyx,Slam,Bacdafucup,Hip Hop/Rap,333.wav
"Youngbloodz, Sean Paul, E-40, Lil Jon",Snap Yo Fingers,Snap Yo Fingers - Single,Hip Hop/Rap,334.wav
"Dr. Dre, Snoop Dogg",Still D.R.E.,2001,Hip Hop/Rap,335.wav
Madvillain,Strange Ways,Madvillainy,Hip Hop/Rap,336.wav
"ScHoolboy Q, BJ The Chicago Kid",Studio,Oxymoron (Deluxe),Hip Hop/Rap,337.wav
G-Unit,Stunt 101,Beg For Mercy,Hip Hop/Rap,338.wav
Kendrick Lamar,Swimming Pools (Drank),Swimming Pools (Drank),Hip Hop/Rap,339.wav
Common,The Light,Go! Common Classics,Hip Hop/Rap,340.wav
"Grandmaster Flash & The Furious Five, The Furious Five, Duke Bootee, Grandmaster Melle Mel",The Message (feat. Melle Mel & Duke Bootee),Rhino Hi-Five: Grandmaster Flash,Hip Hop/Rap,341.wav
"Jaylib, Madlib, J Dilla",The Official,Champion Sound,Hip Hop/Rap,342.wav
The Pharcyde,Oh Shit,Bizarre Ride Ii The Pharcyde,Hip Hop/Rap,343.wav
The Pharcyde,Passing Me By,Bizarre Ride Ii The Pharcyde,Hip Hop/Rap,344.wav
"Jaylib, Madlib, J Dilla",The Red,Champion Sound,Hip Hop/Rap,345.wav
Nas,The World Is Yours,Illmatic XX,Hip Hop/Rap,346.wav
Machine Gun Kelly,Till I Die,General Admission,Hip Hop/Rap,347.wav
Tyga,Make It Nasty,Careless World,Hip Hop/Rap,348.wav
Denzel Curry,ULT,Imperial,Hip Hop/Rap,349.wav
Unknown Artist,Unknown Title,Unknown Album,Hip Hop/Rap,350.wav
Q-Tip,Vivrant Thing - Club Mix,Something From Nothing: The Art of Rap,Hip Hop/Rap,351.wav
Kanye West,Waves,The Life Of Pablo,Hip Hop/Rap,352.wav
Kurupt,We Can Freak It,Kuruption!,Hip Hop/Rap,353.wav
Black Milk,What It's Worth,If There's a Hell Below,Hip Hop/Rap,354.wav
"Dr. Dre, Eminem, Xzibit",What's The Difference,2001,Hip Hop/Rap,355.wav
Ice Cube,Why We Thugs,"Laugh Now, Cry Later",Hip Hop/Rap,356.wav
Xzibit,X,Restless,Hip Hop/Rap,357.wav
"Tyler, The Creator",Yonkers,Goblin (Deluxe Edition),Hip Hop/Rap,358.wav
"Denzel Curry, Joey Bada$$",Zenith,Imperial,Hip Hop/Rap,359.wav
Miles Davis,'Round Midnight,'Round About Midnight,Jazz,360.wav
Herbie Hancock,Maiden Voyage,Maiden Voyage,Jazz,361.wav
